Название,Цена,Операционная система,Диагональ экрана,Разрешение экрана,Производитель процессора,Модель процессора,Тактовая частота,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Цвет
Ноутбук Digma Eve 11 C408 (ES2055EW),13999,Windows 10 Домашняя x64,"11.6""",1920x1080 Пикс,Intel,Celeron N3350,1.1 ГГц,4 ГБ,LPDDR4,eMMC,64 ГБ,Intel,HD Graphics 500,,Черный
Ноутбук Acer Aspire 1 A115-22-R7NA (NX.A7NER.007),29999,Windows 10 Домашняя,"15.6""",1366x768 Пикс,AMD,Athlon Silver 3050U,2.3 ГГц,4 ГБ,DDR4,SSD,128 ГБ,AMD,Radeon Graphics,,Черный
Ноутбук Acer Aspire 3 A315-35-C0T9 (NX.A6LER.001),27999,Без ОС,"15.6""",1920x1080 Пикс,Intel,Celeron N4500,1.1 ГГц,4 ГБ,DDR4,SSD,256 ГБ,Intel,UHD Graphics,,Серебристый
Ноутбук Digma EVE 15 P418 (ES5064EW),17999,Windows 10 x64,"15.6""",1920x1080 Пикс,Intel,Pentium J3710,1.6 ГГц,4 ГБ,DDR4,eMMC,128 ГБ,Intel,Intel HD Graphics 405,,Серый
Ультрабук Acer Swift 1 SF114-34-P8NR (NX.A77ER.006),33999,Windows 10 Домашняя в S-режиме,"14""",1920x1080 Пикс,Intel,Pentium Silver N6000,1.1 ГГц,4 ГБ,LPDDR4X,SSD,256 ГБ,Intel,UHD Graphics,,Серебристый
Ноутбук HUAWEI MateBook 14s 16+512GB Spruce Green (HKD-W76),119999,Windows 10 Домашняя x64,"14.2""",2520x1680 Пикс,Intel,Core i7-11370H,,16 ГБ,LPDDR4X,SSD,512 ГБ,Intel,Iris Graphics,,Зеленый
Ноутбук-трансформер Lenovo IdeaPad Flex 3 11ADA05 (82G4002HRU),35999,Windows 10 Домашняя x64,"11.6""",1920x1080 Пикс,AMD,3020e,1.2 ГГц,4 ГБ,DDR4,eMMC,64 ГБ,AMD,Radeon Graphics,,Синий
Ноутбук Irbis NB250,22999,Windows 10,"15.6""",1920x1080 Пикс,Intel,Pentium J3710,1.6 ГГц,4 ГБ,,eMMC,128 ГБ,Intel,HD Graphics,,Черный
Игровой ноутбук ASUS TUF Gaming F15 FX506LH-HN082T,89999,Windows 10 Домашняя,"15.6""",1920x1080 Пикс,Intel,Core i5-10300H,2.5 ГГц,8 ГБ,DDR4,SSD,512 ГБ,NVIDIA,GeForce GTX 1650,4 ГБ,"Голубой, Черный"
Ноутбук Digma Eve 14 C410 (ES4057EW),18999,Windows 10 Домашняя x64,"14.1""",1920x1080 Пикс,Intel,Celeron N3350,1.1 ГГц,4 ГБ,DDR3,eMMC,128 ГБ,Intel,HD Graphics 500,,Серый
